,Titre de films,Années,Moy de la note,Metas  scores,Le Nombre de votes
0,Inception,(2010),8.8,74,2395473
1,Shutter Island,(2010),8.2,63,1348222
2,Toy Story 3,(2010),8.3,92,849780
3,Iron Man 2,(2010),6.9,57,831582
4,Black Swan,(2010),8.0,79,783699
5,How to Train Your Dragon,(2010),8.1,75,755649
6,The Social Network,(2010),7.8,95,718519
7,The King's Speech,(2010),8.0,88,689424
8,Kick-Ass,(2010),7.6,66,572601
9,Harry Potter and the Deathly Hallows: Part 1,(2010),7.7,65,563843
10,Despicable Me,(2010),7.6,72,557561
11,Tangled,(2010),7.7,71,465426
12,Scott Pilgrim vs. the World,(2010),7.5,69,438031
13,Alice in Wonderland,(I) (2010),6.4,53,423240
14,Easy A,(2010),7.0,72,399423
15,The Town,(2010),7.5,74,399204
16,127 Hours,(2010),7.5,82,384684
17,The Fighter,(I) (2010),7.8,79,375357
18,The Expendables,(2010),6.4,45,351598
19,Due Date,(2010),6.5,51,349027
20,True Grit,(2010),7.6,80,345384
21,Tron,(2010),6.8,49,343963
22,The Book of Eli,(2010),6.8,53,325163
23,Salt,(2010),6.4,65,320185
24,Insidious,(I) (2010),6.8,52,316222
25,RED,(2010),7.0,60,314330
26,Prince of Persia: The Sands of Time,(2010),6.6,50,294796
27,Clash of the Titans,(2010),5.8,39,286216
28,The Other Guys,(2010),6.6,64,275717
29,Robin Hood,(2010),6.6,53,274195
30,Megamind,(2010),7.3,63,272995
31,The A-Team,(2010),6.7,47,262609
32,Grown Ups,(I) (2010),5.9,30,258833
33,The Twilight Saga: Eclipse,(2010),5.0,58,250891
34,The Tourist,(I) (2010),6.0,37,247863
35,Predators,(2010),6.4,51,235843
36,Shrek 4: voor eeuwig en altijd,(2010),6.3,58,212892
37,Love & Other Drugs,(2010),6.7,55,209795
38,Blue Valentine,(2010),7.3,81,201929
39,Unstoppable,(2010),6.8,69,201192
40,Knight and Day,(2010),6.3,46,201082
41,The Next Three Days,(2010),7.3,52,200139
42,Machete,(2010),6.6,60,200018
43,Percy Jackson & the Olympians: The Lightning Thief,(2010),5.8,47,193062
44,The Karate Kid,(2010),6.2,61,191373
45,Harry Potter and the Deathly Hallows: Part 2,(2011),8.1,85,894250
46,The Intouchables,(2011),8.5,57,875438
47,Thor,(2011),7.0,57,863023
48,Captain America: The First Avenger,(2011),6.9,66,859275
49,X: First Class,(2011),7.7,65,701957
50,Drive,(I) (2011),7.8,78,658523
51,Limitless,(I) (2011),7.4,59,585614
52,Pirates of the Caribbean: On Stranger Tides,(2011),6.6,45,538313
53,Rise of the Planet of the Apes,(2011),7.6,68,537535
54,"Crazy, Stupid, Love.",(2011),7.4,68,530697
55,Source Code,(2011),7.5,74,528926
56,The Hangover Part II,(2011),6.5,44,511002
57,Mission: Impossible - Ghost Protocol,(2011),7.4,73,499024
58,Warrior,(2011),8.2,71,479727
59,The Girl with the Dragon Tattoo,(2011),7.8,71,471909
60,The Help,(2011),8.1,62,469344
61,Sherlock Holmes: A Game of Shadows,(2011),7.4,48,463759
62,Horrible Bosses,(2011),6.9,57,456135
63,Moneyball,(2011),7.6,87,435154
64,Midnight in Paris,(2011),7.7,81,432601
65,The Cabin in the Woods,(2011),7.0,72,428311
66,In Time,(2011),6.7,53,420426
67,Transformers: Dark of the Moon,(2011),6.2,42,415935
68,Fast Five,(2011),7.3,66,388201
69,Friends with Benefits,(2011),6.5,63,377612
70,Super 8,(2011),7.0,72,358843
71,Real Steel,(2011),7.0,56,337999
72,50/50,(2011),7.6,72,335061
73,Hugo,(2011),7.5,83,327682
74,Contagion,(2011),6.8,70,308026
75,Bridesmaids,(I) (2011),6.8,75,297675
76,Kung Fu Panda 2,(2011),7.2,67,295813
77,Green Lantern,(2011),5.5,39,289058
78,Rango,(2011),7.2,75,275597
79,Unknown,(I) (2011),6.8,56,264672
80,The Adjustment Bureau,(2011),7.0,60,261785
81,Paul,(2011),6.9,57,257801
82,The Grey,(2011),6.7,64,256450
83,Just Go with It,(2011),6.4,33,251514
84,Jodaeiye Nader az Simin,(2011),8.3,95,248401
85,Sucker Punch,(2011),6.0,33,246008
86,The Twilight Saga: Breaking Dawn - Part 1,(2011),4.9,45,245206
87,The Descendants,(2011),7.3,84,244835
88,The Artist,(I) (2011),7.9,89,244261
89,The Dark Knight Rises,(2012),8.4,78,1730890
90,Django Unchained,(2012),8.4,81,1586970
91,The Avengers,(2012),8.0,69,1408674
92,The Hunger Games,(2012),7.2,68,939953
93,The Hobbit: An Unexpected Journey,(2012),7.8,58,840475
94,Silver Linings Playbook,(2012),7.7,81,718916
95,Skyfall,(2012),7.8,81,706938
96,The Amazing Spider-Man,(2012),6.9,66,668071
97,Life of Pi,(2012),7.9,79,642102
98,Ted,(2012),6.9,62,626128
99,Argo,(2012),7.7,86,622505
100,Prometheus,(I) (2012),7.0,64,618945
101,Looper,(2012),7.4,84,584851
102,21 Jump Street,(2012),7.2,69,571204
103,The Perks of Being a Wallflower,(2012),7.9,67,523249
104,Wreck-It Ralph,(2012),7.7,72,433142
105,Brave,(2012),7.1,69,421040
106,Men in Black 3,(2012),6.8,58,370852
107,Cloud Atlas,(2012),7.4,55,366445
108,Flight,(I) (2012),7.3,76,361389
109,Moonrise Kingdom,(2012),7.8,84,355466
110,Jack Reacher,(2012),7.0,50,348164
111,Jagten,(2012),8.3,77,338489
112,Les Misérables,(2012),7.5,63,335148
113,The Dictator,(2012),6.4,58,316578
114,Pitch Perfect,(2012),7.1,66,313281
115,Taken 2,(2012),6.2,45,312451
116,The Expendables 2,(2012),6.6,51,312088
117,Zero Dark Thirty,(2012),7.4,95,307532
118,The Bourne Legacy,(2012),6.6,61,307128
119,Snow White and the Huntsman,(2012),6.1,57,294082
120,Dredd,(2012),7.1,60,280946
121,John Carter,(2012),6.6,51,277704
122,The Place Beyond the Pines,(2012),7.3,68,275243
123,Dark Shadows,(2012),6.2,55,272054
124,Seven Psychopaths,(2012),7.1,66,264712
125,Lincoln,(2012),7.3,87,264642
126,Hotel Transylvania,(2012),7.0,47,263450
127,Sinister,(I) (2012),6.8,53,261172
128,Total Recall,(I) (2012),6.2,43,258819
129,Chronicle,(2012),7.0,69,255769
130,End of Watch,(2012),7.6,68,255156
131,The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52,253518
132,Battleship,(2012),5.8,41,251344
133,Lawless,(2012),7.2,58,246175
134,Lo imposible,(2012),7.5,73,229487
135,Safe House,(2012),6.7,52,226989
136,American Reunion,(2012),6.7,49,218014
137,Project X,(2012),6.6,48,217804
138,The Wolf of Wall Street,(2013),8.2,75,1448985
139,Iron Man Three,(2013),7.1,62,864297
140,Gravity,(2013),7.7,96,837516
141,Man of Steel,(2013),7.1,55,782553
142,Prisoners,(2013),8.1,70,737823
143,12 Years a Slave,(2013),8.1,96,712359
144,Thor: The Dark World,(2013),6.8,54,695271
145,World War Z,(2013),7.0,63,683344
146,The Hunger Games: Catching Fire,(2013),7.5,76,679179
147,The Hobbit: The Desolation of Smaug,(2013),7.8,66,675607
148,Now You See Me,(I) (2013),7.2,50,674203
149,Frozen,(I) (2013),7.4,75,636183
150,Her,(2013),8.0,91,630423
151,The Great Gatsby,(2013),7.2,55,561232
152,Oblivion,(I) (2013),7.0,54,535403
153,The Conjuring,(2013),7.5,68,520811
154,Pacific Rim,(2013),6.9,65,510596
155,Dallas Buyers Club,(2013),7.9,77,497827
156,Rush,(I) (2013),8.1,74,488333
157,Star Trek Into Darkness,(2013),7.7,72,488095
158,American Hustle,(2013),7.2,90,486638
159,The Wolverine,(2013),6.7,61,475262
160,Captain Phillips,(2013),7.8,82,470316
161,We're the Millers,(2013),7.0,44,460576
162,Elysium,(I) (2013),6.6,61,455337
163,This Is the End,(2013),6.6,67,420392
164,Despicable Me 2,(2013),7.3,62,408100
165,Furious 6,(2013),7.0,61,400740
166,Snowpiercer,(2013),7.1,84,369323
167,Monsters University,(2013),7.2,65,368750
168,About Time,(I) (2013),7.8,55,361722
169,The Secret Life of Walter Mitty,(2013),7.3,54,324855
170,The Hangover Part III,(2013),5.8,30,321661
171,Lone Survivor,(2013),7.5,60,293799
172,The World's End,(2013),6.9,81,287526
173,Olympus Has Fallen,(2013),6.5,41,282149
174,Kick-Ass 2,(2013),6.5,41,278485
175,Escape Plan,(2013),6.7,49,248383
176,Ender's Game,(2013),6.6,51,245436
177,Don Jon,(2013),6.5,66,242486
178,The Lone Ranger,(2013),6.4,37,238327
179,Interstellar,(2014),8.6,74,1888259
180,Guardians of the Galaxy,(2014),8.0,76,1199056
181,Gone Girl,(2014),8.1,79,1002085
182,Whiplash,(2014),8.5,89,893190
183,Captain America: The Winter Soldier,(2014),7.8,70,860730
184,The Grand Budapest Hotel,(2014),8.1,88,830852
185,The Imitation Game,(2014),8.0,71,784745
186,X-Men: Days of Future Past,(2014),7.9,75,721964
187,Edge of Tomorrow,(2014),7.9,71,694706
188,Kingsman: The Secret Service,(2014),7.7,60,681304
189,John Wick,(2014),7.4,68,675006
190,Birdman or (The Unexpected Virtue of Ignorance),(2014),7.7,87,642568
191,Nightcrawler,(2014),7.8,76,564292
192,Ex Machina,(2014),7.7,78,557453
193,The Hobbit: The Battle of the Five Armies,(2014),7.4,59,544490
194,The Amazing Spider-Man 2,(2014),6.6,53,509119
195,Lucy,(I) (2014),6.4,61,507999
196,Fury,(2014),7.5,64,507447
197,American Sniper,(2014),7.3,72,499104
198,The Maze Runner,(2014),6.8,57,480116
199,Big Hero 6,(2014),7.8,74,472677
200,Divergent,(2014),6.6,48,469319
201,The Hunger Games: Mockingjay - Part 1,(2014),6.6,64,467983
202,The Theory of Everything,(2014),7.7,71,461244
203,Dawn of the Planet of the Apes,(2014),7.6,79,449351
204,Godzilla,(2014),6.4,62,420867
205,22 Jump Street,(2014),7.0,71,386709
206,The Fault in Our Stars,(2014),7.7,69,384947
207,Maleficent,(2014),6.9,56,384012
208,The Equalizer,(2014),7.2,57,381319
209,The Lego Movie,(2014),7.7,83,365046
210,Boyhood,(I) (2014),7.9,100,358981
211,How to Train Your Dragon 2,(2014),7.8,77,344933
212,The Interview,(II) (2014),6.5,52,339566
213,Transformers: Age of Extinction,(2014),5.6,32,319362
214,Neighbors,(I) (2014),6.3,68,317340
215,300: Rise of an Empire,(2014),6.2,48,306575
